05.09:22.41.17  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.42.24  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.42.26  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.42.26  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.42.26  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.42.26  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.42.26  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.42.26  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.42.26  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.42.26  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.43.02  INFO	ru.sfedu.hibLabs.lab1.DataProviderHibernate:36 - The tables - [users, tape, threesiteskinfold, foursiteskinfold, result]
05.09:22.43.02  INFO	ru.sfedu.hibLabs.lab1.DataProviderHibernate:51 - Users - [postgres, User1]
